"_time","avg_ResponseTime","min_ResponseTime","max_ResponseTime"
"2025-03-13T13:00:00.000-0400","3.063210526315789","2.484","3.684"
"2025-03-13T13:15:00.000-0400","3.1254444444444442","2.488","3.894"
"2025-03-13T13:30:00.000-0400","3.085454545454546","2.449","3.840"
"2025-03-13T13:45:00.000-0400","3.1306666666666665","2.459","4.324"
"2025-03-13T14:00:00.000-0400","2.9362608695652175","2.450","3.410"
"2025-03-13T14:15:00.000-0400","3.007285714285714","2.557","3.945"
"2025-03-13T14:30:00.000-0400","3.0279","2.597","4.192"
"2025-03-13T14:45:00.000-0400","3.0002142857142857","2.367","3.648"
"2025-03-13T15:00:00.000-0400","2.9744705882352944","2.419","3.443"
"2025-03-13T15:15:00.000-0400","2.977423076923077","2.492","4.069"
"2025-03-13T15:30:00.000-0400","2.92852","2.339","3.632"
"2025-03-13T15:45:00.000-0400","3.0813461538461544","2.490","4.010"
"2025-03-13T16:00:00.000-0400","3.0967000000000002","2.540","3.824"
"2025-03-13T16:15:00.000-0400","3.432888888888889","2.430","5.730"
"2025-03-13T16:30:00.000-0400","2.9604399999999997","2.390","3.844"
"2025-03-13T16:45:00.000-0400","2.9403333333333337","2.349","3.796"
"2025-03-13T17:00:00.000-0400","3.0731388888888893","2.506","4.485"
"2025-03-13T17:15:00.000-0400","3.371052631578948","2.584","8.162"
"2025-03-13T17:30:00.000-0400","3.000727272727273","2.429","3.608"
"2025-03-13T17:45:00.000-0400","3.1475384615384616","2.612","3.969"
"2025-03-13T18:00:00.000-0400","2.9582692307692304","2.511","4.162"
"2025-03-13T18:15:00.000-0400","2.9604","2.592","3.743"
"2025-03-13T18:30:00.000-0400","2.988793103448276","2.546","3.398"
"2025-03-13T18:45:00.000-0400","2.8574666666666673","2.383","3.524"
"2025-03-13T19:00:00.000-0400","3.1035","2.409","3.931"
"2025-03-13T19:15:00.000-0400","3.0094999999999996","2.439","3.840"
"2025-03-13T19:30:00.000-0400","3.087961538461539","2.517","4.196"
"2025-03-13T19:45:00.000-0400","2.940238095238095","2.410","3.562"
"2025-03-13T20:00:00.000-0400","3.059730769230769","2.561","4.053"
"2025-03-13T20:15:00.000-0400","3.04541935483871","2.481","3.617"
"2025-03-13T20:30:00.000-0400","3.2258333333333336","2.633","3.875"
"2025-03-13T20:45:00.000-0400","2.994153846153846","2.548","3.667"
"2025-03-13T21:00:00.000-0400","3.0745172413793105","2.391","4.401"
"2025-03-13T21:15:00.000-0400","3.1564000000000005","2.585","4.891"
"2025-03-13T21:30:00.000-0400","4.2219019607843125","2.334","18.039"
"2025-03-13T21:45:00.000-0400","3.8241842105263153","2.485","18.036"
"2025-03-13T22:00:00.000-0400","3.1079411764705887","2.469","4.058"
"2025-03-13T22:15:00.000-0400","2.899076923076923","2.348","3.538"
